base_currency,destination_currency,purchase_value,sale_value,date_time
USD,GTQ,7.540794,7.893704,2025-04-15 08:19:06
USD,HNL,25.506535,26.388809,2025-04-15 08:19:06
USD,HRK,7.039700,7.044700,2025-03-19 12:19:13
USD,HTG,130.038335,131.802882,2025-04-15 08:19:06
USD,IDR,16805.000000,16819.000000,2025-04-15 16:52:58
USD,IQD,1284.678870,1337.615300,2025-04-15 08:19:06
USD,IRR,42112.500000,42116.710000,2025-04-15 12:37:03
USD,ISK,128.460000,129.060000,2025-04-15 16:53:10
USD,JMD,156.762410,159.938590,2025-04-15 08:19:06
USD,KES,128.700000,130.700000,2025-04-15 10:19:11
USD,KHR,3920.790200,4097.243400,2025-04-15 08:19:05
USD,KMF,433.000000,434.000000,2025-04-14 18:00:00
USD,KZT,515.190420,520.484010,2025-04-15 08:19:05
USD,LAK,21455.827000,21896.960000,2025-04-15 08:19:05
USD,LBP,89645.108000,89715.690000,2025-04-15 08:19:05
USD,LKR,295.279390,301.455310,2025-04-15 08:19:07
USD,LSL,18.704822,19.110668,2025-04-15 08:19:07
USD,LYD,5.455981,5.508918,2025-04-15 08:19:07
USD,MAD,8.995117,9.595073,2025-04-15 08:19:07
USD,MDL,17.026420,17.555794,2025-04-15 08:19:05
USD,MGA,4522.495600,4610.722200,2025-04-15 08:19:05
USD,MKD,54.122672,54.920223,2025-04-15 16:27:44
USD,MMK,2093.679900,2103.679900,2025-04-15 15:24:27
USD,MOP,7.821967,8.174892,2025-04-15 08:19:04
USD,MRO,39.810000,40.310000,2025-02-28 19:00:08
USD,MUR,44.100000,46.100000,2025-04-15 02:35:43
USD,MVR,15.260000,15.560000,2025-04-14 18:00:00
USD,MWK,1732.064600,1739.122800,2025-04-15 08:19:05
USD,MYR,4.410000,4.415000,2025-04-15 06:41:43
USD,NAD,18.704822,19.110668,2025-04-15 08:19:06
USD,NGN,1604.940000,1605.940000,2025-04-15 16:30:55
USD,NIO,36.393794,37.276068,2025-04-15 08:19:07
USD,NPR,135.728690,138.728390,2025-04-15 08:19:06
USD,NZD,1.693740,1.694230,2025-04-15 16:53:15
USD,OMR,0.383665,0.386324,2025-04-15 16:49:56
USD,PAB,0.978874,1.022987,2025-04-15 08:19:05
USD,PEN,3.668583,3.809746,2025-04-15 08:19:07
USD,PGK,4.005594,4.146760,2025-04-15 08:19:07
USD,PHP,56.671000,56.868000,2025-04-15 16:50:52
USD,PKR,279.417700,282.240980,2025-04-15 08:19:07
USD,PYG,7883.998600,8113.389800,2025-04-15 08:19:07
USD,QAR,3.521331,3.786013,2025-04-15 08:19:07
USD,RON,4.405900,4.415900,2025-04-15 16:53:15
USD,RSD,102.386971,104.504409,2025-04-15 08:19:06
USD,RWF,1404.717700,1431.186800,2025-04-15 08:19:05
USD,SCR,13.431764,15.204233,2025-04-15 16:49:57
